ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
46,Proposition de services,9/17/20,9/30/20,10,30,0,,,1,,,"#ff0000",,
47,"  Confirmation avec Superviseur et Coordonateur",9/17/20,9/17/20,1,100,0,,,1.1,,,"#ff6600",,
48,"  Soumission de projet",9/18/20,9/18/20,1,100,0,,47,1.2,,,"#ff0000",,
53,"  Élaboration des concepte",9/18/20,9/21/20,2,100,0,,,1.3,,,"#ff6600",,
49,"  Rédaction de la Proposition de services",9/18/20,9/29/20,8,0,0,,,1.4,,,"#00ff00",,
78,"  Remis de la proposition de services",9/30/20,9/30/20,1,0,0,,49,1.5,,,"#ff0000",,
119,Ingénieire de Concept,9/18/20,11/12/20,40,0,0,,,2,,,"#000000",,
121,"  Définition et analyses des besoins",9/18/20,9/24/20,5,0,0,,,2.1,,,"#ff6600",,
125,"  Relevés (Dimensions d'une table)",9/25/20,9/25/20,1,0,0,,121,2.2,,,,,
250,"  Dimensions acceptables pour les robots",9/28/20,9/28/20,1,0,0,,125,2.4,,,"#ffff00",,
284,"  Robot",9/29/20,10/28/20,22,0,0,,,2.5,,,"#000000",,
129,"    Recherche de solutions (Brainstorming, recherche, etc)",9/29/20,10/1/20,3,0,0,,250,2.5.1,,,,,
138,"    Lectures & recherche de documentation",10/2/20,10/28/20,19,0,0,,129,2.5.3,,,,,
157,"    Croquis ou dessins",10/2/20,10/28/20,19,0,0,,129,2.5.4,,,"#ffff00",,
158,"    Estimations",10/2/20,10/27/20,18,0,0,,129,2.5.2,,,"#ffff00",,
167,"  Rédaction Rapport 1",10/16/20,11/12/20,20,0,0,,,2.9,,,"#00ff00",,
219,"  Recherche d'algorithms IA",9/25/20,10/1/20,5,0,0,,121,2.3,,,,,
236,"  Choix de l'algorithme",10/2/20,10/2/20,1,0,0,,219,2.6,,,"#ff6600",,
286,"  IA",10/5/20,10/28/20,18,0,0,,,2.7,,,"#000000",,
221,"    Calcul de la puissance de calcul nécessaire",10/5/20,10/8/20,4,0,0,,236,2.7.1,,,"#ffff00",,
232,"    Choix de la plateforme de développement",10/14/20,10/16/20,3,0,0,,227,2.7.2,,,"#ff6600",,
237,"    Faire l’inventaire des plateformes robotiques",10/19/20,10/27/20,7,0,0,,232,2.7.3,,,,,
276,"    Choix de la plateforme robotique",10/28/20,10/28/20,1,0,0,,158;237,2.7.4,,,"#ff6600",,
280,"  Choix du concepte finale",10/29/20,11/2/20,3,0,0,,138;157;276,2.10,,,"#ff6600",,
227,"  Recherche et inventaire des plateformes de développment",10/9/20,10/13/20,3,0,0,,221,2.8,,,,,
15,Rapport #1  ingénierie de concept,11/13/20,11/20/20,6,0,0,,,3,,,"#ff0000",,
38,"  Remise du rapport au conseillier",11/13/20,11/13/20,1,0,0,,,3.1,,,"#ff0000",,
30,"  Correction rapport 1",11/16/20,11/19/20,4,0,0,,38,3.3,,,"#00ff00",,
